0.0000000000 	 1.0000000000 
0.1000000000 	 0.8187309014 
0.2000000000 	 0.6703202889 
0.3000000000 	 0.5488119344 
0.4000000000 	 0.4493292897 
0.5000000000 	 0.4797467521 
0.6000000000 	 0.4965131512 
0.7000000000 	 0.5013773118 
0.8000000000 	 0.4963015213 
0.9000000000 	 0.4947140385 
1.0000000000 	 0.4948851060 
1.1000000000 	 0.4955010990 
1.2000000000 	 0.4955772414 
1.3000000000 	 0.4954950645 
1.4000000000 	 0.4954370031 
1.5000000000 	 0.4954431025 
1.6000000000 	 0.4954558667 
1.7000000000 	 0.4954595968 
1.8000000000 	 0.4954574467 
1.9000000000 	 0.4954560817 
